"Year","Team","Rank"
"1996","Bulgaria",28
"1996","Croatia",27
"1996","Czech Republic",10
"1996","Denmark",11
"1996","England",24
"1996","France",5
"1996","Germany",2
"1996","Italy",7
"1996","Netherlands",13
"1996","Portugal",18
"1996","Romania",16
"1996","Russia",3
"1996","Scotland",31
"1996","Spain",6
"1996","Switzerland",21
"1996","Turkey",30
"2000","Belgium",30
"2000","Czech Republic",2
"2000","Denmark",13
"2000","England",12
"2000","France",3
"2000","Germany",6
"2000","Italy",14
"2000","Netherlands",21
"2000","Norway",9
"2000","Portugal",15
"2000","Romania",10
"2000","Slovenia",45
"2000","Spain",4
"2000","Sweden",16
"2000","Turkey",34
"2000","Yugoslavia",11
"2004","Bulgaria",38
"2004","Croatia",25
"2004","Czech Republic",10
"2004","Denmark",14
"2004","England",12
"2004","France",2
"2004","Germany",9
"2004","Greece",34
"2004","Italy",11
"2004","Latvia",52
"2004","Netherlands",4
"2004","Portugal",20
"2004","Russia",30
"2004","Spain",3
"2004","Sweden",21
"2004","Switzerland",47
"2008","Austria",101
"2008","Croatia",13
"2008","Czech Republic",6
"2008","France",7
"2008","Germany",5
"2008","Greece",8
"2008","Italy",3
"2008","Netherlands",10
"2008","Poland",27
"2008","Portugal",9
"2008","Romania",12
"2008","Russia",25
"2008","Spain",4
"2008","Sweden",23
"2008","Switzerland",48
"2008","Turkey",25
"2012","Croatia",8
"2012","Czech Republic",26
"2012","Denmark",10
"2012","England",7
"2012","France",16
"2012","Germany",2
"2012","Greece",14
"2012","Italy",12
"2012","Netherlands",4
"2012","Poland",65
"2012","Portugal",5
"2012","Republic of Ireland",18
"2012","Russia",11
"2012","Spain",1
"2012","Sweden",17
"2012","Ukraine",50
"2016","Albania",45
"2016","Austria",11
"2016","Belgium",2
"2016","Croatia",23
"2016","Czech Republic",29
"2016","England",10
"2016","France",21
"2016","Germany",5
"2016","Hungary",18
"2016","Iceland",35
"2016","Italy",15
"2016","Northern Ireland",26
"2016","Poland",27
"2016","Portugal",8
"2016","Republic of Ireland",31
"2016","Romania",19
"2016","Russia",27
"2016","Slovakia",32
"2016","Spain",6
"2016","Sweden",36
"2016","Switzerland",14
"2016","Turkey",13
"2016","Ukraine",22
"2016","Wales",24
"2021","Austria",23
"2021","Belgium",1
"2021","Croatia",14
"2021","Czech Republic",40
"2021","Denmark",10
"2021","England",4
"2021","Finland",54
"2021","France",2
"2021","Germany",12
"2021","Hungary",37
"2021","Italy",7
"2021","Netherlands",16
"2021","North Macedonia",62
"2021","Poland",21
"2021","Portugal",5
"2021","Russia",38
"2021","Scotland",44
"2021","Slovakia",36
"2021","Spain",6
"2021","Sweden",18
"2021","Switzerland",13
"2021","Turkey",29
"2021","Ukraine",24
"2021","Wales",17
